ID,Title,Category,CaseType,Difficulty,RiskLevel,Duration(Days),Background,Solution,Outcome,Phase_Details
12,"[개인 신변] 인천 Airport 불륜/가정문제 해결 사례","","","상","",,"인천 Airport 지역에서 발생한 불륜/가정문제 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (12days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
13,"[기업 횡령] 제주 Island 법인카드 유용 해결 사례","","","하","",,"제주 Island 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (1days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (4days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (2days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
14,"[산업 스파이] 인천 Airport 영업비밀 매매 해결 사례","","","하","",,"인천 Airport 지역에서 발생한 영업비밀 매매 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
15,"[개인 신변] 부산 Haeundae 채무자 추적 해결 사례","","","하","",,"부산 Haeundae 지역에서 발생한 채무자 추적 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (12days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
16,"[기업 횡령] 부산 Haeundae 회계 조작 해결 사례","","","상","",,"부산 Haeundae 지역에서 발생한 회계 조작 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
17,"[디지털 범죄] 대구 Industrial 온라인 사기 해결 사례","","","상","",,"대구 Industrial 지역에서 발생한 온라인 사기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (1days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (4days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (2days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
18,"[개인 신변] 대전 Center 스토킹 피해 해결 사례","","","중","",,"대전 Center 지역에서 발생한 스토킹 피해 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (11days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
19,"[기업 횡령] 경기 Pangyo 법인카드 유용 해결 사례","","","하","",,"경기 Pangyo 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (7days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (4days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
20,"[산업 스파이] 제주 Island 디자인 도용 해결 사례","","","상","",,"제주 Island 지역에서 발생한 디자인 도용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
21,"[기업 횡령] 경기 Pangyo 자금 횡령 해결 사례","","","하","",,"경기 Pangyo 지역에서 발생한 자금 횡령 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (6days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (3days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
22,"[산업 스파이] 인천 Airport 디자인 도용 해결 사례","","","중","",,"인천 Airport 지역에서 발생한 디자인 도용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (12days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
23,"[기업 횡령] 경기 Pangyo 비자금 조성 해결 사례","","","하","",,"경기 Pangyo 지역에서 발생한 비자금 조성 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (8days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (4days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
24,"[디지털 범죄] 경기 Pangyo 온라인 사기 해결 사례","","","중","",,"경기 Pangyo 지역에서 발생한 온라인 사기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (13days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
25,"[기업 횡령] 제주 Island 자금 횡령 해결 사례","","","하","",,"제주 Island 지역에서 발생한 자금 횡령 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (17days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (10days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
26,"[산업 스파이] 서울 Gangnam 디자인 도용 해결 사례","","","중","",,"서울 Gangnam 지역에서 발생한 디자인 도용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (8days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (4days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
27,"[디지털 범죄] 부산 Haeundae 악플러 특정 해결 사례","","","하","",,"부산 Haeundae 지역에서 발생한 악플러 특정 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (13days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (8days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
28,"[기업 횡령] 경기 Pangyo 비자금 조성 해결 사례","","","중","",,"경기 Pangyo 지역에서 발생한 비자금 조성 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (5days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (3days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
29,"[개인 신변] 부산 Haeundae 불륜/가정문제 해결 사례","","","중","",,"부산 Haeundae 지역에서 발생한 불륜/가정문제 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (14days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (8days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
30,"[개인 신변] 대구 Industrial 실종자 찾기 해결 사례","","","중","",,"대구 Industrial 지역에서 발생한 실종자 찾기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (16days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (9days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
31,"[개인 신변] 서울 Gangnam 실종자 찾기 해결 사례","","","상","",,"서울 Gangnam 지역에서 발생한 실종자 찾기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (11days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
32,"[기업 횡령] 제주 Island 자금 횡령 해결 사례","","","중","",,"제주 Island 지역에서 발생한 자금 횡령 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (15days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (9days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
33,"[디지털 범죄] 서울 Gangnam 온라인 사기 해결 사례","","","상","",,"서울 Gangnam 지역에서 발생한 온라인 사기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (9days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (5days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
34,"[산업 스파이] 인천 Airport 디자인 도용 해결 사례","","","하","",,"인천 Airport 지역에서 발생한 디자인 도용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (14days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (8days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
35,"[디지털 범죄] 대구 Industrial 데이터 복구 해결 사례","","","중","",,"대구 Industrial 지역에서 발생한 데이터 복구 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (16days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (9days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
36,"[개인 신변] 인천 Airport 채무자 추적 해결 사례","","","하","",,"인천 Airport 지역에서 발생한 채무자 추적 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (12days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
37,"[기업 횡령] 경기 Pangyo 비자금 조성 해결 사례","","","중","",,"경기 Pangyo 지역에서 발생한 비자금 조성 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (8days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (5days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
38,"[기업 횡령] 제주 Island 비자금 조성 해결 사례","","","중","",,"제주 Island 지역에서 발생한 비자금 조성 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (14days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (8days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
39,"[산업 스파이] 제주 Island 기술 유출 해결 사례","","","중","",,"제주 Island 지역에서 발생한 기술 유출 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
40,"[기업 횡령] 부산 Haeundae 법인카드 유용 해결 사례","","","중","",,"부산 Haeundae 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (5days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (13days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
41,"[개인 신변] 대구 Industrial 채무자 추적 해결 사례","","","상","",,"대구 Industrial 지역에서 발생한 채무자 추적 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (5days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (3days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
42,"[기업 횡령] 부산 Haeundae 법인카드 유용 해결 사례","","","중","",,"부산 Haeundae 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (7days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (17days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (10days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
43,"[개인 신변] 서울 Gangnam 불륜/가정문제 해결 사례","","","상","",,"서울 Gangnam 지역에서 발생한 불륜/가정문제 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (3days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (8days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (5days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
44,"[개인 신변] 경기 Pangyo 스토킹 피해 해결 사례","","","중","",,"경기 Pangyo 지역에서 발생한 스토킹 피해 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (15days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (9days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
45,"[산업 스파이] 부산 Haeundae 인력 빼가기 해결 사례","","","상","",,"부산 Haeundae 지역에서 발생한 인력 빼가기 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (7days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (4days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
46,"[산업 스파이] 부산 Haeundae 기술 유출 해결 사례","","","하","",,"부산 Haeundae 지역에서 발생한 기술 유출 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
47,"[기업 횡령] 대구 Industrial 법인카드 유용 해결 사례","","","중","",,"대구 Industrial 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (17days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (10days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
48,"[기업 횡령] 인천 Airport 자금 횡령 해결 사례","","","상","",,"인천 Airport 지역에서 발생한 자금 횡령 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (12days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (7days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
49,"[산업 스파이] 부산 Haeundae 기술 유출 해결 사례","","","상","",,"부산 Haeundae 지역에서 발생한 기술 유출 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (7days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (18days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (10days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
50,"[산업 스파이] 제주 Island 디자인 도용 해결 사례","","","하","",,"제주 Island 지역에서 발생한 디자인 도용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (6days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (3days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
51,"[디지털 범죄] 경기 Pangyo 데이터 복구 해결 사례","","","하","",,"경기 Pangyo 지역에서 발생한 데이터 복구 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (1days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (4days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (2days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
